# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-F" "GFF" "-t" "gene" "-g" "locus_tag" "-a" "reference/styphimurium.gff" "-o" "feature_counts/all_samples_counts.txt" "alignment_bam/acidic_sorted.bam" "alignment_bam/oxidative_sorted.bam" "alignment_bam/starvation_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignment_bam/acidic_sorted.bam	alignment_bam/oxidative_sorted.bam	alignment_bam/starvation_sorted.bam
STM2408	NC_003197.2	2523718	2524969	-	1252	1185	5395	2314
STM2409	NC_003197.2	2525190	2526504	+	1315	15343	8122	3055
STM2410	NC_003197.2	2526557	2528746	-	2190	3260	643	249
STM2411	NC_003197.2	2528938	2529010	-	73	12209	452	68
STM2412	NC_003197.2	2529056	2529128	-	73	1955	109	36
STM2413	NC_003197.2	2529340	2529714	+	375	1427	248	524
STM2414	NC_003197.2	2529716	2530108	+	393	1738	314	632
STM2415	NC_003197.2	2530162	2531588	-	1427	11497	5259	756
STM2416	NC_003197.2	2531834	2531906	+	73	2651	383	461
STM2417	NC_003197.2	2531955	2532027	+	73	7544	200	72
STM2418	NC_003197.2	2532072	2532144	+	73	907	53	18
STM2419	NC_003197.2	2532152	2532224	+	73	644	2	7
STM2420	NC_003197.2	2532393	2533356	-	964	2276	180	70
STM2421	NC_003197.2	2533546	2534814	-	1269	456	42	36
STM2422	NC_003197.2	2534857	2535746	-	890	30	8	8
STM2423	NC_003197.2	2535932	2536707	+	776	202	38	64
STM2424	NC_003197.2	2536769	2537695	-	927	407	145	175
STM2425	NC_003197.2	2537774	2538783	+	1010	1361	483	259
STM2426	NC_003197.2	2538780	2539007	-	228	264	170	71
STM2427	NC_003197.2	2539000	2541025	-	2026	2164	1981	1171
STM2428	NC_003197.2	2541087	2542082	-	996	9448	2683	3100
STM2429	NC_003197.2	2542287	2543066	+	780	2737	698	227
STM2430	NC_003197.2	2543157	2544201	+	1045	3180	2365	9864
STM2431	NC_003197.2	2544492	2544842	+	351	41169	23002	1687
STM2432	NC_003197.2	2544880	2546618	+	1739	170874	70375	9918
STM2433	NC_003197.2	2546647	2547168	+	522	27863	27215	6744
STM2434	NC_003197.2	2547317	2547563	-	247	283	208	34
STM2435	NC_003197.2	2547553	2548431	-	879	1028	399	149
STM2436	NC_003197.2	2548498	2549794	+	1297	1406	324	233
STM2437	NC_003197.2	2549801	2550528	+	728	610	187	40
STM2438	NC_003197.2	2550568	2550967	+	400	327	72	49
STM2439	NC_003197.2	2550976	2551519	+	544	963	112	140
STM2440	NC_003197.2	2551650	2552569	-	920	1820	460	230
STM2441	NC_003197.2	2552629	2553739	-	1111	210	200	3122
STM2442	NC_003197.2	2553716	2554596	-	881	230	53	1931
STM2443	NC_003197.2	2554591	2555438	-	848	2928	918	1715
STM2444	NC_003197.2	2555424	2556546	-	1123	186	129	2992
STM2445	NC_003197.2	2556598	2557404	-	807	808	1061	2501
STM2446	NC_003197.2	2557627	2558537	-	911	2109	1038	206
STM2447	NC_003197.2	2558621	2559207	-	587	560	205	19
STM2448	NC_003197.2	2559258	2559707	-	450	235	137	62
STM2449	NC_003197.2	2559694	2560230	-	537	3334	679	200
STM2450	NC_003197.2	2560324	2561201	+	878	4093	920	542
STM2451	NC_003197.2	2561195	2562103	+	909	940	405	158
STM2452	NC_003197.2	2562124	2562453	+	330	219	37	34
STM2453	NC_003197.2	2562575	2563859	+	1285	1226	391	274
STM2454	NC_003197.2	2564059	2565126	-	1068	327	95	226
STM2455	NC_003197.2	2565159	2565666	-	508	32	61	58
STM2456	NC_003197.2	2565666	2566336	-	671	28	4	243
STM2457	NC_003197.2	2566335	2567245	-	911	39	64	44
STM2458	NC_003197.2	2567250	2568624	-	1375	77	46	17
STM2459	NC_003197.2	2568623	2570040	-	1418	66	9	102
STM2460	NC_003197.2	2570023	2571264	-	1242	36	26	220
STM2461	NC_003197.2	2571369	2572569	-	1201	34	18	56
STM2462	NC_003197.2	2572546	2573397	-	852	52	26	2
STM2463	NC_003197.2	2573396	2574813	-	1418	50	43	14
STM2464	NC_003197.2	2574811	2575110	-	300	15	10	0
STM2465	NC_003197.2	2575211	2575513	-	303	64	54	42
STM2466	NC_003197.2	2575542	2576566	-	1025	16	3	4
STM2467	NC_003197.2	2576555	2577370	-	816	54	32	2
STM2468	NC_003197.2	2577355	2578060	-	706	60	8	2
STM2469	NC_003197.2	2578022	2578510	-	489	0	0	0
STM2470	NC_003197.2	2578514	2578865	-	352	0	0	0
STM2471	NC_003197.2	2579330	2579794	-	465	68	9	20
STM2472	NC_003197.2	2579978	2582270	-	2293	3143	3313	2269
STM2473	NC_003197.2	2582515	2583479	+	965	281	468	866
STM2474	NC_003197.2	2583487	2585499	+	2013	2324	626	1367
STM2475	NC_003197.2	2585562	2585800	-	239	3494	823	402
STM2476	NC_003197.2	2585920	2586980	-	1061	1438	200	12
STM2477	NC_003197.2	2587088	2587674	-	587	5013	1445	312
STM2478	NC_003197.2	2587855	2589165	+	1311	1200	374	246
STM2479	NC_003197.2	2589614	2591584	-	1971	226	100	77
STM2480	NC_003197.2	2591746	2593461	+	1716	864	338	412
STM2481	NC_003197.2	2593632	2596759	+	3128	1315	690	461
STM2482	NC_003197.2	2597322	2597689	+	368	755	795	327
STM2483	NC_003197.2	2597681	2598820	+	1140	948	725	185
STM2484	NC_003197.2	2598841	2599048	+	208	103	133	151
STM2485	NC_003197.2	2599075	2601104	-	2030	984	1311	1036
STM2486	NC_003197.2	2601109	2601981	-	873	728	936	857
STM2487	NC_003197.2	2602103	2602982	-	880	2363	1352	340
STM2488	NC_003197.2	2602991	2604037	-	1047	6351	2706	787
STM2489	NC_003197.2	2604042	2604982	-	941	16239	4908	1760
STM2490	NC_003197.2	2605000	2605638	+	639	2157	728	774
STM2491	NC_003197.2	2605621	2606108	+	488	19871	7428	1322
STM2492	NC_003197.2	2606155	2606508	-	354	1864	512	210
STM2493	NC_003197.2	2606695	2607776	-	1082	1611	632	167
STM2494	NC_003197.2	2607957	2609433	+	1477	5175	2523	1194
STM2495	NC_003197.2	2609462	2609832	+	371	2307	2073	596
STM2496	NC_003197.2	2609859	2610584	-	726	7732	1062	236
STM2497	NC_003197.2	2610655	2611956	-	1302	2580	653	48
STM2498	NC_003197.2	2612032	2612819	-	788	22460	2093	835
STM2499	NC_003197.2	2613008	2614109	+	1102	2901	770	495
STM2500	NC_003197.2	2614095	2614747	+	653	3433	584	351
STM2501	NC_003197.2	2614919	2617002	+	2084	8244	6748	3882
STM2502	NC_003197.2	2617007	2618548	+	1542	2460	2335	697
STM2503	NC_003197.2	2618584	2620797	-	2214	800	114	143
STM2504	NC_003197.2	2620894	2621031	-	138	55	0	1
STM2505	NC_003197.2	2621102	2621367	-	266	2	0	0
STM2506	NC_003197.2	2621198	2621401	+	204	0	0	0
STM2507	NC_003197.2	2621480	2621716	-	237	2361	170	91
STM2508	NC_003197.2	2621942	2622271	+	330	634	62	95
STM2509	NC_003197.2	2622291	2622652	-	362	469	33	63
STM2510	NC_003197.2	2622804	2624396	-	1593	3597	3039	204
STM2511	NC_003197.2	2624451	2626003	-	1553	8127	1483	226
STM2512	NC_003197.2	2626078	2627427	+	1350	4921	1088	200
STM2513	NC_003197.2	2627589	2633715	-	6127	2172	923	1009
STM2514	NC_003197.2	2634402	2641716	-	7315	5212	2096	768
STM2515	NC_003197.2	2641875	2647476	-	5602	2715	1069	1620
STM2516	NC_003197.2	2647592	2648558	-	967	169	65	58
STM2517	NC_003197.2	2648609	2650807	-	2199	251	33	32
STM2518	NC_003197.2	2651147	2651380	-	234	1008	543	128
STM2519	NC_003197.2	2651457	2652941	-	1485	6070	1452	418
STM2520	NC_003197.2	2653048	2654236	-	1189	15948	5875	1303
STM2521	NC_003197.2	2654237	2654872	-	636	1353	1220	295
STM2522	NC_003197.2	2654871	2656161	-	1291	6678	2718	1010
STM2523	NC_003197.2	2656256	2657384	-	1129	3231	2855	822
STM2524	NC_003197.2	2657401	2658405	-	1005	8642	2924	3223
STM2525	NC_003197.2	2658697	2659875	-	1179	9517	1546	324
STM2526	NC_003197.2	2660070	2660510	-	441	41558	9276	1406
STM2527	NC_003197.2	2660622	2661485	-	864	814	211	696
STM2528	NC_003197.2	2661485	2662300	-	816	39	23	6
STM2529	NC_003197.2	2662287	2662923	-	637	115	28	42
STM2530	NC_003197.2	2662913	2665318	-	2406	300	66	72
STM2531	NC_003197.2	2665447	2667762	-	2316	1536	587	296
STM2532	NC_003197.2	2667763	2672709	-	4947	5199	4762	2652
STM2533	NC_003197.2	2672894	2673748	+	855	2095	2454	1716
STM2534	NC_003197.2	2673989	2674663	+	675	824	120	99
STM2535	NC_003197.2	2675232	2676017	-	786	686	770	209
STM2536	NC_003197.2	2676118	2677414	-	1297	1946	4554	1201
STM2537	NC_003197.2	2677648	2677857	-	210	2224	881	165
STM2538	NC_003197.2	2677860	2678205	-	346	2654	1614	322
STM2539	NC_003197.2	2678197	2680059	-	1863	3079	3894	757
STM2540	NC_003197.2	2680060	2680608	-	549	4742	4520	826
STM2541	NC_003197.2	2680771	2681105	-	335	7924	10454	1784
STM2542	NC_003197.2	2681123	2681523	-	401	2322	10818	1189
STM2543	NC_003197.2	2681537	2682767	-	1231	6455	11859	2046
STM2544	NC_003197.2	2682932	2683441	-	510	4701	6991	1123
STM2545	NC_003197.2	2683586	2684330	-	745	6811	1490	958
STM2546	NC_003197.2	2684427	2685239	+	813	66726	3148	899
STM2547	NC_003197.2	2685372	2686262	+	891	2860	688	331
STM2548	NC_003197.2	2686437	2687487	+	1051	86	50	0
STM2549	NC_003197.2	2687483	2688309	+	827	99	75	56
STM2550	NC_003197.2	2688313	2689333	+	1021	341	186	101
STM2551	NC_003197.2	2689334	2690325	-	992	340	255	44
STM2552	NC_003197.2	2690311	2690956	-	646	432	298	105
STM2553	NC_003197.2	2691059	2692352	+	1294	1201	511	2235
STM2554	NC_003197.2	2692347	2693495	-	1149	2139	598	137
STM2555	NC_003197.2	2693682	2695130	-	1449	16332	11656	2357
STM2556	NC_003197.2	2695248	2696450	+	1203	819	919	93
STM2557	NC_003197.2	2696564	2698176	+	1613	5441	1254	215
STM2558	NC_003197.2	2698371	2699868	+	1498	1023	15565	146
STM2559	NC_003197.2	2699938	2702095	+	2158	2604	10266	452
STM2560	NC_003197.2	2702140	2703611	+	1472	2660	2929	202
STM2561	NC_003197.2	2703660	2704089	-	430	10578	6327	903
STM2562	NC_003197.2	2704075	2705423	-	1349	2985	1829	543
STM2563	NC_003197.2	2705409	2706173	-	765	2206	895	513
STM2564	NC_003197.2	2706175	2707617	-	1443	5533	1230	906
STM2565	NC_003197.2	2708255	2712297	-	4043	1819	1059	361
STM2566	NC_003197.2	2712164	2712397	+	234	0	0	0
STM2567	NC_003197.2	2712385	2713942	+	1558	5498	551	212
STM2568	NC_003197.2	2713993	2714544	-	552	4313	379	506
STM2569	NC_003197.2	2714569	2715216	-	648	1303	622	1259
STM2570	NC_003197.2	2715208	2716578	-	1371	245	199	101
STM2571	NC_003197.2	2716580	2717484	-	905	665	231	215
STM2572	NC_003197.2	2717577	2718437	+	861	1573	371	227
STM2573	NC_003197.2	2718476	2719400	-	925	946	148	70
STM2574	NC_003197.2	2719415	2720622	-	1208	220	14	4
STM2575	NC_003197.2	2720727	2721653	+	927	453	53	7
STM2576	NC_003197.2	2721679	2721951	+	273	3425	134	5
STM2577	NC_003197.2	2722063	2722460	-	398	1869	781	164
STM2578	NC_003197.2	2722443	2723184	-	742	1614	2096	543
STM2579	NC_003197.2	2723186	2723914	-	729	2147	579	120
STM2580	NC_003197.2	2723926	2724842	-	917	6416	1474	516
STM2581	NC_003197.2	2724828	2725518	-	691	10620	1208	1365
STM2582	NC_003197.2	2725782	2726767	-	986	10376	2716	840
STM2583	NC_003197.2	2726773	2728572	-	1800	14901	5214	922
STM2584	NC_003197.2	2728973	2730470	+	1498	3872	4977	106
STM2585	NC_003197.2	2731352	2731902	+	551	4341	1822	1674
STM2585A	NC_003197.2	2733014	2733241	+	228	246	60	7
STM2586	NC_003197.2	2733338	2733923	-	586	33	14	0
STM2587	NC_003197.2	2733906	2734735	-	830	79	44	2
STM2588	NC_003197.2	2734727	2737105	-	2379	552	345	168
STM2589	NC_003197.2	2737434	2740796	-	3363	491	237	179
STM2590	NC_003197.2	2740858	2741511	-	654	21	8	0
STM2591	NC_003197.2	2741403	2742009	-	607	94	28	4
STM2592	NC_003197.2	2742147	2742853	-	707	733	155	112
STM2593	NC_003197.2	2742855	2743192	-	338	39	87	48
STM2594	NC_003197.2	2743187	2746289	-	3103	745	762	639
STM2595	NC_003197.2	2746254	2746598	-	345	19	3	6
STM2596	NC_003197.2	2746589	2746990	-	402	47	19	0
STM2597	NC_003197.2	2747035	2747789	-	755	428	377	307
STM2598	NC_003197.2	2747789	2748197	-	409	163	69	81
STM2599	NC_003197.2	2748167	2749429	+	1263	13034	2231	625
STM2600	NC_003197.2	2749478	2750063	-	586	1167	171	142
STM2601	NC_003197.2	2750084	2750472	-	389	30	47	82
STM2602	NC_003197.2	2750478	2750844	-	367	108	72	117
STM2603	NC_003197.2	2750895	2751930	-	1036	456	125	132
STM2604	NC_003197.2	2751978	2752332	-	355	105	57	34
STM2605	NC_003197.2	2752338	2753842	-	1505	352	271	99
STM2606	NC_003197.2	2753824	2755410	-	1587	658	247	205
STM2607	NC_003197.2	2755401	2755612	-	212	4	1	0
STM2608	NC_003197.2	2755588	2757526	-	1939	541	175	58
STM2609	NC_003197.2	2757491	2758036	-	546	106	2	39
STM2610	NC_003197.2	2758310	2758724	+	415	1239	410	743
STM2611	NC_003197.2	2758960	2759418	-	459	435	92	65
STM2612	NC_003197.2	2759430	2759889	-	460	168	71	162
STM2613	NC_003197.2	2759866	2760202	-	337	13	6	5
STM2614	NC_003197.2	2760465	2761157	+	693	4240	804	945
STM2615	NC_003197.2	2761650	2761723	-	74	486	15	248
STM2616	NC_003197.2	2762067	2762637	-	571	3623	164	50
STM2617	NC_003197.2	2762903	2763587	-	685	60	11	38
STM2618	NC_003197.2	2763577	2763724	-	148	0	0	0
STM2619	NC_003197.2	2763714	2764331	-	618	26	8	0
STM2620	NC_003197.2	2764534	2765142	-	609	485	69	61
STM2621	NC_003197.2	2765552	2765791	-	240	202	120	86
STM2622	NC_003197.2	2766077	2766370	-	294	94	38	28
STM2623	NC_003197.2	2766445	2766762	-	318	1	0	0
STM2624	NC_003197.2	2766753	2767106	-	354	0	0	0
STM2625	NC_003197.2	2767111	2767867	-	757	0	0	3
STM2626	NC_003197.2	2767863	2768852	-	990	4	0	2
STM2627	NC_003197.2	2768931	2769305	-	375	63	0	23
STM2628	NC_003197.2	2769611	2770040	+	430	76	16	9
STM2629	NC_003197.2	2770084	2770350	+	267	55	4	0
STM2630	NC_003197.2	2770336	2770501	+	166	1	0	0
STM2631	NC_003197.2	2770523	2770873	+	351	0	0	0
STM2632	NC_003197.2	2770988	2773885	+	2898	21	19	2
STM2633	NC_003197.2	2773844	2775005	+	1162	40	45	6
STM2634	NC_003197.2	2775040	2775287	+	248	46	35	8
STM2635	NC_003197.2	2775321	2775612	+	292	294	56	38
STM2636	NC_003197.2	2775590	2776825	-	1236	903	237	54
STM2637	NC_003197.2	2777317	2777808	-	492	317	162	42
STM2638	NC_003197.2	2777793	2778768	-	976	2624	1055	332
STM2639	NC_003197.2	2778749	2779417	-	669	4157	1127	1086
STM2640	NC_003197.2	2779431	2780026	-	596	4815	1736	3800
STM2641	NC_003197.2	2780431	2782053	+	1623	1159	417	224
STM2642	NC_003197.2	2782038	2782789	-	752	2038	333	128
STM2643	NC_003197.2	2782896	2784240	+	1345	18928	2783	768
STM2644	NC_003197.2	2784258	2785163	-	906	1600	795	227
STM2645	NC_003197.2	2785247	2785847	+	601	190	48	30
STM2646	NC_003197.2	2785909	2786307	-	399	1101	2905	707
STM2647	NC_003197.2	2786599	2787300	+	702	2596	1805	1216
STM2648	NC_003197.2	2787416	2788465	-	1050	3179	1053	922
STM2649	NC_003197.2	2788647	2789076	+	430	8875	2169	2616
STM2650	NC_003197.2	2789149	2789829	+	681	3871	625	121
STM2651	NC_003197.2	2789870	2792543	+	2674	2695	1565	3390
STM2652	NC_003197.2	2792640	2794013	+	1374	16672	3036	1730
STM2653	NC_003197.2	2794045	2794381	+	337	318	102	45
STM2654	NC_003197.2	2794378	2795691	-	1314	475	250	339
STM2655	NC_003197.2	2795783	2796245	-	463	477	113	241
STM2656	NC_003197.2	2796443	2796564	-	122	1312	64	10
STM2657	NC_003197.2	2796758	2799767	-	3010	18146	6107	8075
STM2658	NC_003197.2	2799961	2800033	-	73	6936	22	60
STM2659	NC_003197.2	2800121	2801663	-	1543	1841	723	1019
STM2660	NC_003197.2	2802119	2804700	-	2582	10302	61320	7169
STM2661	NC_003197.2	2804822	2805564	-	743	3480	2112	1702
STM2662	NC_003197.2	2805550	2806542	-	993	12237	4053	2021
STM2663	NC_003197.2	2806644	2807399	+	756	23253	2915	1057
STM2665	NC_003197.2	2807659	2808009	+	351	6110	304020	393289
STM2666	NC_003197.2	2808106	2808160	+	55	143	84	56
STM2667	NC_003197.2	2808249	2809420	+	1172	5263	3231	1651
STM2668	NC_003197.2	2809381	2810296	-	916	444	196	232
STM2669	NC_003197.2	2810347	2811477	-	1131	1318	947	401
STM2670	NC_003197.2	2811478	2812684	-	1207	1810	1053	493
STM2671	NC_003197.2	2812974	2813506	+	533	1850	368	111
STM2672	NC_003197.2	2813485	2814719	+	1235	2012	595	250
STM2673	NC_003197.2	2814876	2815242	-	367	8552	6705	418
STM2674	NC_003197.2	2815264	2816045	-	782	4108	1186	64
STM2675	NC_003197.2	2816076	2816636	-	561	12946	2652	105
STM2676	NC_003197.2	2816643	2816900	-	258	20047	6028	192
STM2677	NC_003197.2	2817205	2818579	-	1375	3817	2151	1405
STM2678	NC_003197.2	2818732	2819523	+	792	6292	866	128
STM2679	NC_003197.2	2819588	2820829	+	1242	5722	1408	119
STM2680	NC_003197.2	2820944	2821555	+	612	2083	526	333
STM2681	NC_003197.2	2821590	2822192	-	603	115145	46268	2891
STM2682	NC_003197.2	2822177	2822375	-	199	0	0	0
STM2683	NC_003197.2	2822288	2823181	+	894	2215	1068	683
STM2684	NC_003197.2	2823254	2824928	+	1675	5430	1795	1948
STM2685	NC_003197.2	2825061	2825415	+	355	20104	3733	2031
STM2686	NC_003197.2	2825581	2825881	-	301	1642	447	245
STM2687	NC_003197.2	2825861	2826337	-	477	7457	2169	1271
STM2688	NC_003197.2	2826477	2826969	+	493	17914	2349	1099
STM2690	NC_003197.2	2839117	2840531	+	1415	2853	960	1079
STM2691	NC_003197.2	2840521	2842708	+	2188	264	49	92
STM2692	NC_003197.2	2842716	2843879	+	1164	797	198	321
STM2693	NC_003197.2	2844217	2844316	+	100	258838	82793	85096
STM2694	NC_003197.2	2844431	2844666	-	236	445	79	107
STM2695	NC_003197.2	2844718	2845824	-	1107	136	44	20
STM2696	NC_003197.2	2845815	2846307	-	493	14	6	6
STM2697	NC_003197.2	2846297	2849109	-	2813	201	49	55
STM2698	NC_003197.2	2849097	2849219	-	123	0	0	0
STM2699	NC_003197.2	2849231	2849540	-	310	24	78	32
STM2700	NC_003197.2	2849588	2850109	-	522	26	26	0
STM2701	NC_003197.2	2850113	2851292	-	1180	249	41	0
STM2702	NC_003197.2	2851388	2851958	-	571	8	0	0
STM2703	NC_003197.2	2851910	2852994	+	1085	0	0	0
STM2704	NC_003197.2	2852998	2853408	+	411	125	55	126
STM2705	NC_003197.2	2853412	2854033	-	622	5	5	0
STM2706	NC_003197.2	2853999	2855573	-	1575	130	56	1
STM2707	NC_003197.2	2855570	2856180	-	611	133	52	34
STM2708	NC_003197.2	2856168	2857084	-	917	144	14	0
STM2709	NC_003197.2	2857063	2857428	-	366	8	0	0
STM2710	NC_003197.2	2857419	2858001	-	583	6	0	0
STM2711	NC_003197.2	2858066	2858517	-	452	0	0	0
STM2712	NC_003197.2	2858505	2858944	-	440	1	1	0
STM2713	NC_003197.2	2858899	2859190	-	292	0	0	0
STM2714	NC_003197.2	2859032	2859465	-	434	6	9	4
STM2715	NC_003197.2	2859837	2860351	-	515	330	47	360
STM2716	NC_003197.2	2860327	2860546	-	220	0	0	0
STM2717	NC_003197.2	2860546	2860756	-	211	0	0	0
STM2718	NC_003197.2	2860749	2861221	-	473	6	0	5
STM2719	NC_003197.2	2861307	2861968	-	662	0	6	10
STM2720	NC_003197.2	2861964	2863052	-	1089	71	14	26
STM2721	NC_003197.2	2863063	2863902	-	840	0	2	2
STM2722	NC_003197.2	2864035	2865805	+	1771	239	49	9
STM2723	NC_003197.2	2865798	2866845	+	1048	13	0	4
STM2724	NC_003197.2	2866931	2868682	-	1752	0	0	0
STM2726	NC_003197.2	2868896	2869633	-	738	0	0	0
STM2727	NC_003197.2	2869687	2869997	-	311	0	10	0
STM2728	NC_003197.2	2869931	2870126	-	196	0	0	0
STM2729	NC_003197.2	2870272	2872708	-	2437	118	4	4
STM2730	NC_003197.2	2872692	2873556	-	865	0	0	0
STM2731	NC_003197.2	2873546	2873781	-	236	0	0	0
STM2732	NC_003197.2	2873773	2874014	-	242	0	0	0
STM2733	NC_003197.2	2874074	2874422	-	349	4	0	0
STM2734	NC_003197.2	2874629	2875093	+	465	0	0	0
STM2735	NC_003197.2	2875041	2875281	-	241	0	0	0
STM2736	NC_003197.2	2875282	2875797	-	516	6	0	0
STM2737	NC_003197.2	2875827	2876069	-	243	7	0	0
STM2738	NC_003197.2	2876177	2876815	+	639	0	0	0
STM2739	NC_003197.2	2876819	2877844	+	1026	0	0	0
STM2740	NC_003197.2	2878160	2879237	+	1078	202	89	442
STM2741	NC_003197.2	2879461	2880058	+	598	51	5	17
STM2742	NC_003197.2	2880448	2881641	+	1194	8760	1730	333
STM2743	NC_003197.2	2881976	2882803	-	828	1701	1030	563
STM2744	NC_003197.2	2883247	2883469	+	223	62	37	30
STM2745	NC_003197.2	2883505	2885574	+	2070	182	78	36
STM2746	NC_003197.2	2886073	2887360	+	1288	11958	6855	774
STM2747	NC_003197.2	2887399	2888223	+	825	7476	2818	191
STM2748	NC_003197.2	2888377	2888738	-	362	8307	1097	1028
STM2749	NC_003197.2	2888824	2889112	+	289	36	0	4
STM2750	NC_003197.2	2889217	2889746	+	530	13	4	7
STM2751	NC_003197.2	2889736	2890117	+	382	18	13	0
STM2752	NC_003197.2	2890106	2891094	+	989	32	13	12
STM2753	NC_003197.2	2891098	2892118	+	1021	726	320	280
STM2754	NC_003197.2	2892413	2893615	+	1203	5913	1052	142
STM2755	NC_003197.2	2893689	2894331	-	643	188	15	6
STM2756	NC_003197.2	2894348	2894919	-	572	12	0	1
STM2757	NC_003197.2	2894911	2895760	-	850	44	20	18
STM2758	NC_003197.2	2895883	2897432	-	1550	215	42	20
STM2759	NC_003197.2	2897642	2899326	+	1685	405	95	78
STM2760	NC_003197.2	2900435	2901318	+	884	230	72	38
STM2761	NC_003197.2	2901484	2903358	+	1875	2607	464	48
STM2762	NC_003197.2	2903618	2904901	-	1284	1216	285	142
STM2763	NC_003197.2	2905473	2906075	+	603	2933	1666	1811
STM2764	NC_003197.2	2906456	2906923	-	468	377	80	68
STM2765	NC_003197.2	2907070	2907343	-	274	518	347	158
STM2766	NC_003197.2	2907789	2908434	-	646	3186	2095	238
STM2767	NC_003197.2	2908424	2910413	-	1990	18435	14109	2640
STM2768	NC_003197.2	2910673	2910984	+	312	541	893	238
STM2769	NC_003197.2	2910967	2911847	+	881	565	248	152
STM2770	NC_003197.2	2912627	2913166	-	540	4558	2378	906
STM2771	NC_003197.2	2913234	2914761	-	1528	600138	757794	391978
STM2772	NC_003197.2	2914839	2915418	+	580	507	212	195
STM2773	NC_003197.2	2916374	2917496	+	1123	239	34339	312
STM2774	NC_003197.2	2917570	2921230	+	3661	1039	43036	506
STM2775	NC_003197.2	2921334	2922584	+	1251	232	1504	36
STM2776	NC_003197.2	2922609	2923551	+	943	295	2288	55
STM2777	NC_003197.2	2923593	2925778	-	2186	436	42913	2381
STM2779	NC_003197.2	2926299	2926631	-	333	309	246	320
STM2780	NC_003197.2	2926806	2927863	-	1058	2566	2017	1492
STM2781	NC_003197.2	2928377	2929306	+	930	47042	8653	439
STM2782	NC_003197.2	2929591	2930495	+	905	42461	14704	642
STM2783	NC_003197.2	2931217	2932237	-	1021	3849	465	971
STM2784	NC_003197.2	2932363	2933785	-	1423	586	394	1277
STM2785	NC_003197.2	2933765	2934446	-	682	249	34	944
STM2786	NC_003197.2	2934587	2935571	+	985	271	109	742
STM2787	NC_003197.2	2935577	2936017	+	441	14	3	84
STM2788	NC_003197.2	2936022	2937542	+	1521	1200	577	802
STM2789	NC_003197.2	2937829	2938822	+	994	178	132	11466
STM2790	NC_003197.2	2938834	2940116	+	1283	79	31	2201
STM2791	NC_003197.2	2940126	2941586	+	1461	68	63	2091
STM2792	NC_003197.2	2941587	2942884	+	1298	598	230	2108
STM2793	NC_003197.2	2943003	2944414	+	1412	447	102	1830
STM2794	NC_003197.2	2944444	2945133	+	690	514	87	858
STM2795	NC_003197.2	2945155	2945613	-	459	302	451	4817
STM2796	NC_003197.2	2945704	2945873	-	170	138	35	2906
STM2797	NC_003197.2	2946045	2946344	+	300	360	178	90
STM2798	NC_003197.2	2946343	2946881	+	539	689	419	158
STM2799	NC_003197.2	2947229	2947770	-	542	109569	10798	4424
STM2800	NC_003197.2	2948316	2948778	+	463	1070	417	178
STM2801	NC_003197.2	2948813	2949174	-	362	946	254	44
STM2802	NC_003197.2	2949313	2949651	+	339	1535	1304	8152
STM2803	NC_003197.2	2949735	2951074	-	1340	1109	1420	731
STM2804	NC_003197.2	2951145	2951589	+	445	815	527	83
STM2805	NC_003197.2	2951846	2952106	+	261	238	12525	411
STM2806	NC_003197.2	2952092	2952513	+	422	62	1698	28
STM2807	NC_003197.2	2952470	2954630	+	2161	836	16701	330
STM2808	NC_003197.2	2954629	2955600	+	972	1508	19123	1039
STM2809	NC_003197.2	2955884	2957157	+	1274	4353	2283	756
STM2810	NC_003197.2	2957137	2958214	+	1078	854	1460	267
STM2811	NC_003197.2	2958273	2959279	+	1007	1173	1712	303
STM2812	NC_003197.2	2959431	2960628	+	1198	1192	535	213
STM2813	NC_003197.2	2960989	2961655	+	667	23109	5537	466
STM2814	NC_003197.2	2961770	2962954	+	1185	5192	2080	394
STM2815	NC_003197.2	2962959	2964509	+	1551	2924	2137	125
STM2816	NC_003197.2	2964558	2965933	-	1376	575	146	177
STM2817	NC_003197.2	2966274	2966800	-	527	15249	7408	1658
STM2818	NC_003197.2	2966939	2968511	-	1573	4982	3299	1237
STM2819	NC_003197.2	2968572	2969014	-	443	866	348	201
STM2820	NC_003197.2	2968994	2969569	-	576	5512	1384	959
STM2821	NC_003197.2	2969932	2970005	-	74	8362	115	14
STM2822	NC_003197.2	2970202	2970275	-	74	23118	679	35
STM2823	NC_003197.2	2970341	2970414	-	74	39459	2240	168
STM2824	NC_003197.2	2970480	2970553	-	74	7817	234	32
STM2825	NC_003197.2	2970560	2970649	-	90	49869	1868	625
STM2826	NC_003197.2	2970955	2971152	-	198	70636	15410	54120
STM2827	NC_003197.2	2971375	2974015	-	2641	20196	11768	1388
STM2828	NC_003197.2	2974241	2974751	-	511	691	183	56
STM2829	NC_003197.2	2974858	2976032	-	1175	13305	8626	2157
STM2830	NC_003197.2	2976004	2976510	-	507	1327	949	445
STM2831	NC_003197.2	2976979	2978069	-	1091	2190	553	483
STM2832	NC_003197.2	2978191	2978875	+	685	46	336	318
STM2833	NC_003197.2	2978859	2979843	+	985	112	362	139
STM2834	NC_003197.2	2979844	2980217	+	374	0	66	34
STM2835	NC_003197.2	2980216	2981008	+	793	453	370	285
